int int
identifier a
= =
number 1
, ,
identifier b
= =
number 234
, ,
identifier c
= =
number 2e4
; ;
function function
int int
identifier max
( (
int int
identifier a
, ,
int int
identifier b
) )
{ {
if if
( (
identifier a
> >
identifier b
) )
return return
identifier a
; ;
else else
return return
identifier b
; ;
} }
function function
double double
identifier min
( (
int int
identifier A
, ,
int int
identifier B
) )
{ {
if if
( (
identifier A
< <
identifier B
) )
return return
identifier A
; ;
else else
return return
identifier B
; ;
} }
function function
int int
identifier main
( (
) )
{ {
double double
identifier sum_1_to_50
= =
number 1
; ;
for for
( (
int int
identifier i
= =
number 1
; ;
identifier i
< <
number 100
; ;
identifier i
+ +
= =
number 1
) )
{ {
if if
( (
identifier i
< <
number 50
) )
break break
; ;
else else
identifier sum_1_to_50
+ +
= =
identifier i
; ;
} }
int int
identifier k
= =
number 0
, ,
identifier s
= =
( (
( (
number 534
- -
number 23
) )
+ +
number 423
) )
* *
number 23
; ;
while while
( (
identifier k
< <
number 40
) )
scanf scanf
( (
identifier s
) )
; ;
int int
identifier A
= =
number 50
, ,
identifier B
= =
number 23
, ,
identifier C
; ;
identifier C
= =
function function
identifier max
( (
identifier A
, ,
identifier B
) )
; ;
print print
( (
identifier C
) )
; ;
print print
( (
identifier A
+ +
identifier B
* *
identifier C
) )
; ;
return return
number 0
; ;
} }
